,headline,url,source,source_url,category,text
0,Manappuram Finance to consider fund raising options in September - Business Standard,https://www.business-standard.com/article/news-cm/manappuram-finance-to-consider-fund-raising-options-in-september-121083000130_1.html,Business Standard,https://www.business-standard.com,finance,"Manappuram Finance said the company may consider and approve issuances of Debt Securities during September 2021.

The company is considering various options for raising funds through borrowings including by the way of issuance of various debt securities in onshore / offshore securities market by Public Issue, on Private Placement Basis or through issuing Commercial Papers.

Based on the prevailing market conditions, the Board of Directors / Financial Resources and Management Committee / Debenture Committee of the Board of Directors of the Company may consider and approve issuances of Debt Securities during the month of September, 2021, subject to such terms and conditions including the issue price of debt securities, as the Board / respective Committee may deem fit.

Shares of Manappuram Finance fell 0.74% to settle at Rs 160.25 on Friday, 27 August 2021.

Manappuram Finance is a gold loans offering non-banking financial company, engaged in providing finance against used household gold ornaments.

Powered by Capital Market - Live News

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
1,PayU aims to provide full-stack financial services to its customers - Business Standard,https://www.business-standard.com/article/companies/payu-aims-to-provide-full-stack-financial-services-to-its-customers-121083000009_1.html,Business Standard,https://www.business-standard.com,finance,"Finance, a digital lending player backed by Prosus Ventures, has seen its buy-now-pay-later (BNPL) segment double in a year and touch a consumer base of 3 million. The firm, which has seen its lending business touch 70 per cent of pre-Covid levels, is now aiming to provide full-stack to its customers.

Prashanth Ranganathan, chief executive officer (CEO), Finance, believes that in the next five years, the company will be able to create a loan book of $1.5 billion — combined between and PaySense, making it one of the largest digital lenders in the country.

“Over the last year, one of the significant transformations has been that we have managed to bring credit to consumers. We are now systematically looking at bringing more end-to-end digital services to them. has 3 million users, and now, we want to offer other like saving, insurance and wealth management, among others, to this segment. So, starting from BNPL to full stack financial services, that’s how we see ourselves,” said Ranganathan.

BNPL’s offering that it launched in 2017 saw a huge adoption during Covid as it allowed users to make use of deferred payment mechanisms for small-ticket buys in the range of Rs 300-500. The success of this has also propelled the company to offer this mechanism for large-ticket transactions.

“Within BNPL or LazyPay, we have two segments or avatars. The first is a deferred payment product that caters to small-ticket transactions, and it is all about convenient payment. It is not about giving credit. Something similar to a UPI or wallet. We have seen this growing phenomenally for us,” added Ranganathan.

In August of 2020, the company also launched its second version of LazyPay for big-ticket purchases like TV, laptops and refrigerators, among others. Ranganathan said that consumers have had two options of payment: Either use their credit card and convert that to EMIs (equated monthly instalments) or take an EMI/loan from a lending firm.

“BNPL is not a loan nor a credit card that many people feel is an unnecessary hassle due to interest charges. Also, banks have not made it simple for consumers to understand what they are getting into if they use a credit card to take loans. Besides, the new generation does not want to get into long-tenure credit as a utility,” he said.

To give this segment a further boost, will bring in some large merchants to its ecosystem that will go live in a few weeks. “By the end of this year, we will do Rs 80-100 crore per month of lending in this segment as it is massively under-tapped,” said Ranganathan.

So far, the company has disbursed about $300 million in credit and it now wants to add new products. With Covid taking the NBFC segment by surprise last year, many preferred to go slow in lending. PayU, too, adopted the same strategy. With a parent like Prosus, the company did not have issues with access to funds, but it chose to go slow to see how the market performs. Going ahead, the company will focus on three key strategies.

“First, since we have more tech, data science and capital than most, we created a lending OS (operating system), which allows us to fund lending activities of partners. We have a lot of neo-banks, and finance apps coming up and all are saying let us monetise the consumer by giving credit,” he added.

Second, PayU wants to be a much bigger player in the affordability checkout segment. “You will see us doubling and tripling down in checkout finance. It is a big strategic priority for us. And finally, we want to bring to our consumers offerings beyond credit,” he said."
2,L&T Finance in talks with HSBC to sell its mutual fund business: Report - Business Today,https://www.businesstoday.in/latest/corporate/story/lt-finance-in-talks-with-hsbc-to-sell-its-mutual-fund-business-report-305505-2021-08-30,Business Today,https://www.businesstoday.in,finance,"L&T Finance Holdings is in active talks with financial services giant HSBC about the possible sale of L&T's mutual fund arm, Moneycontrol reported citing sources.

Last year, private equity major Blackstone was also engaged in talks with L&T Finance to buy its mutual fund business for a Rs 3,200 crore deal.

However, it did not materialise as market regulator Securities and Exchange Board of India did not give its nod because of the nature of the deal. SEBI does not favour private equity firms owning a majority stake in mutual funds due to their short-term nature.

L&T Finance wants to sell its mutual fund business to monetise non-core businesses. L&T's mutual fund arm is a subsidiary of L&T Finance Holdings Limited. The company has over Rs 75,531 crore quarterly- average assets under management as of June 30, 2021.

Its MF basket comprises 35 funds, including 12 open-ended equity schemes, 12 open-ended debt/fixed income schemes, five hybrid schemes and six close-ended schemes.

Both HSBC and L&T Finance Holdings are yet to issue any statement on the matter.

L&T Finance had reported a 20 per cent rise in net profit at Rs 178 crore for June quarter 2021-22, mainly driven by rural demand for farm equipment. The non-banking financial company registered Rs 148 crore profit in the year-ago period.

Also read: L&T Finance Holdings Q1 profit jumps 20% to Rs 178 crore"
3,Tally Solutions seeks small finance banking license - Economic Times,https://economictimes.indiatimes.com/industry/banking/finance/banking/tally-solutions-seeks-small-finance-banking-license/articleshow/85768158.cms,Economic Times,https://economictimes.indiatimes.com,finance,"Financial technology company Tally Solutions and Cosmea Financial Holdings , a Maharashtra-based firm incorporated as recently as in November 2020 have applied for a small finance bank license, Reserve Bank of India announced on Monday.These firms thus joined VSoft Technologies, Calicut City Service Co-operative Bank, Dvara Kshetriya Gramin Financial Services and Akhil Kumar Gupta in seeking to set up small finance banks under the central bank's on-tap licensing policy.Gupta, the vice chairman at Bharti Enterprises Sources, applied for the license in his personal capacity.In March, the banking regulator formed a five-member standing external advisory committee under former deputy governor Shyamala Gopinath for evaluating the applications.RBI's central board director Revathy Iyer, former executive director B Mahapatra, former Canara Bank chairman TN Manoharan, formermanaging director Hemant G Contractor are members of the committee."
4,China Finance Online announces changes to the Board of Directors - IBS Intelligence,https://ibsintelligence.com/ibsi-news/china-finance-online-announces-changes-to-the-board-of-directors/,IBS Intelligence,https://ibsintelligence.com,finance,"China Finance Online Co. Limited, a web-based financial services company that provides Chinese individual investors with FinTech-powered online access to securities trading services, wealth management products, securities investment advisory services, as well as financial database and analytics services to institutional customers, announced the following changes to the board of directors of the Company.

The Board has approved the appointments of Ms. Ying Zhu, Mr. Frank J. Mitsch and Mr. Haimin Xu as directors of the Company, effective as of August 27, 2021. Both Mr. Zhiwei Zhao and Mr. Yaowei Zhang have resigned as a director of the Company, effective as of August 23, 2021, and August 20, 2021, respectively. The Board has also elected Dr. Z. James Chen as the Chairman of the Board, effective as of August 27, 2021.

“Ms. Ying Zhu has been serving as our Chief Financial Officer since May 2021. She joined our Company in July 2010 and has served as our Director of Investor Relations, Director of Strategy, Assistant to the Chairman, Head of President’s Office and the Acting Chief Financial Officer. She also serves as Vice President of Rifa Securities Limited in Hong Kong. Ms. Zhu obtained her Master of Law and Bachelor of Economics degrees majoring in Finance from International Business School of Beijing Language and Culture University. Ms. Zhu has been awarded HKSI Institute Specialist Certificates on Securities, Futures and Asset Management,” shared the company.

Each of Mr. Frank J. Mitsch and Mr. Haimin Xu have been appointed as an independent director of the Board and will serve as members of the Audit Committee, Compensation Committee and Corporate Governance and Nominating Committee, respectively.

Mr. Frank J. Mitsch co-founded and is currently the President of Fermium Research following seven years at Wells Fargo Securities, where he was a Managing Director. Beginning his financial services career with Merrill Lynch, Mr. Mitsch has over 20 years of experience in the industry, including BB&T Capital Markets and JP Morgan H&Q. He’s a member of the 2017 and 2018 Institutional Investor’s All-America Research Team and received the Top Gun designation from Brendan Wood Intl in 2020. Frank received his Bachelor of Engineering degree from Stevens Institute of Technology and an MBA in Finance from Montclair State University.

Mr. Xu Haimin is a partner of Cybernaut Investment Group. He has worked in China Ministry of Aerospace, PricewaterhouseCoopers China, as Financial Management Consultant, and China United Assets Appraisal Group as Vice General Manager. He graduated from Nankai University with a bachelor’s degree and from School of Economics at Peking University with a Master’s degree."
5,"GIC Housing Finances bad loans spike to 11.4% in Q1, solvency weakens - Business Standard",https://www.business-standard.com/article/finance/gic-housing-finance-s-bad-loans-spike-to-11-4-in-q1-solvency-weakens-121083000031_1.html,Business Standard,https://www.business-standard.com,finance,"A sharp rise in to 11.4 per cent in June 2021 from 7.4 per cent in March 2021 has weakened Housing Finance’s ( HF’s) solvency and profitability.

With the second wave of Covid-19 coming in April 2021, the country again witnessed a series of lockdowns, which impacted the cash flows of borrowers.

Also, the company, which lends predominantly to the salaried class, was unable to collect from borrowers. This led to a sudden rise in slippages and weakening of solvency and profitability metrics.

Rating agency downgraded its rating for long-term bank lines and non-convertible debentures (NCDs) to “AA” from “AA+”.

The deterioration in the asset quality would further impact GICHF’s earnings profile, and consequently, its internal capital generation.

said with relatively muted growth expectations, the company would not need growth capital in the short term. Its capital adequacy ratio (CAR) stood at 17.14 per cent as on June 30, 2021, which is above the regulatory requirement of 14 per cent.

The company has enough headroom to raise tier II capital as all of the capital is currently in the form of tier I capital.

Gross rose to 11.4 per cent in June 2021 from 5.64 per cent in June 2020. Net shot up from 3.05 per cent in June 2020 to 7.86 per cent in June 2021. Housing loan book has shrunk in 12 months to Rs 12,045 crore in June 2021 from Rs 12,781 crore a year ago, according to a filing with the BSE.

said the company had strengthened underwriting processes in the last two years. Loans given under the new framework have performed better than the earlier originations and the management has taken steps to recover from stressed accounts. The ultimate losses on these accounts would be low, given the secured nature of these loans."
6,Pakistan's finance ministry warns of risks to country's economy - Economic Times,https://economictimes.indiatimes.com/news/international/business/pakistans-finance-ministry-warns-of-risks-to-countrys-economy/articleshow/85761873.cms,Economic Times,https://economictimes.indiatimes.com,finance,"Rising commodity inflation could hurt Pakistan 's economy gravely, warned the country's finance ministry.A report in News International cited the ministry as saying that a rise in international commodity prices can build pressure on domestic inflation and balance of payment situation.The local media has reported that the increasing inflation has worsened the conditions of lower-middle-income households.The Dawn newspaper reported that increase in costs of transportation, electricity and indirect taxes could heighten the risk of increase in poverty, hunger and malnutrition.While Food Price Index that includes five commodity group price indices -- cereals, vegetable oils, sugar, meat and dairy, pointed to more difficult times ahead for Pakistan as it shows that global food prices were 31 per cent higher in July than a year ago.But Islamabad's indifferent view on the troubles of low-middle-income families that are already struggling with a substantial reduction in purchasing power and loss of jobs has added to the misery of people.According to the World Bank (WB) estimate, poverty in Pakistan has increased from 4.4 per cent to 5.4 per cent in 2020, as over two million people have fallen below the poverty line.Using the lower-middle-income poverty rate, the World Bank estimated that the poverty ratio in Pakistan stood at 39.3 per cent in 2020-21 and is projected to remain at 39.2 per cent in 2021-22 and might come down to 37.9 per cent by 2022-23, reported The News InternationalMeanwhile, reports have also suggested that most of the prominent cities in Pakistan do not have safe drinking water for citizens, according to data presented by the Imran Khan-led Pakistan Tehreek-e-Insaf government at National Assembly.While experts said that a famine-like situation may arise in Pakistan due to the scarcity of water across the country if the issue is not resolved timely, Geo News reported. As per the report, water scarcity in the country has set alarm bells ringing after rivers have dried up due to low rainfall.(With inputs from ANI)"
7,AU Small Finance Bank appoints Deepak Jain as Chief Risk Officer for 3 yrs - Mint,https://www.livemint.com/companies/news/au-small-finance-bank-appoints-deepak-jain-as-chief-risk-officer-for-3-yrs-11630241985092.html,Mint,https://www.livemint.com,finance,"AU Small Finance Bank has appointed Deepak Jain as the Chief Risk Officer for a period of three years. His appointment will come into effect from September 1, 2021.

Jain is currently serving as the Chief Operating Officer (COO) and Key Management Personnel (KMP) at the bank. He will demit these offices on August 31, 2021 at the close of business hours, AU Small Finance Bank said in a regulatory filing on Sunday.

Jain will replace Alok Gupta, who has resigned for personal reasons, the lender further added. Gupta had resigned from his post as Chief Risk Officer back in July this year.

Jain was appointed as CFO of AU Small Finance Bank Limited, earlier known as AU Financiers (India) Limited, in May 2010, and was later appointed as COO in April 2020.

“He has vast and diverse experience and knowledge across accounts, finance, operations, it, audit and risk management. Over the years, he has handled various responsibilities with ease, precision and has always focused on building the robust processes, systems, and control mechanisms for ensuring sustainable and balance growth of bank,"" AU Small Finance Bank said in a statement.

Jain is a qualified chartered accountant, with an overall experience of 23 years, including 12 years with the bank as CFO and COO. He has supervised various verticals, including finance and accounts, taxation and corporate and securities laws; credit processes, operations and information technology; and collections and legal and Infrastructure

He is also the chairman of some of the board-delegated committees (executive committees), and member of others.

Subscribe to Mint Newsletters * Enter a valid email * Thank you for subscribing to our newsletter."
8,IMF loan ‘important’ to its finances: Zambian finance minister - Al Jazeera English,https://www.aljazeera.com/economy/2021/8/30/zambias-new-finmin-says-imf-loan-important-to-nations-revival,Al Jazeera English,https://www.aljazeera.com,finance,"Zambia’s new Finance Minister, Situmbeko Musokotwane, has said in an interview that it was critical to agree to a lending programme with the International Monetary Fund (IMF) because it would give creditors confidence and the government cheaper and longer financing.

Musokotwane, appointed on Friday by recently elected President Hakainde Hichilema, faces the daunting task of trying to pull the southern African country out of a protracted debt crisis and has pledged to prioritise talks with the IMF.

In an interview aired on Sunday, he told public broadcaster ZNBC he was confident Zambia would get an IMF programme before the end of the year and thereafter restructure its debt.

The government has a $750m Eurobond due next year but says it cannot repay it.

“We don’t have the money to pay back. This is why it is important that we get on (an) IMF (programme) so that we can re-arrange not to pay next year. I am 100 percent confident that it will be done,” he said.

Zambia, Africa’s second-biggest copper producer, became the continent’s first pandemic-era sovereign defaulter in November when it stopped servicing its $3bn in Eurobonds along with almost all its external debt.

A well-respected economist, Musokotwane previously served as finance minister from 2008 to 2011 and oversaw the implementation of Zambia’s last economic programme with the IMF that was concluded shortly before he was appointed to the post. He now faces the task of reviving an economy that shrank 3 percent last year, is buckling under nearly $13bn in foreign loans and has soaring inflation.

But after Hichilema’s landslide election victory this month over incumbent Edgar Lungu, the country’s dollar bonds and Zambian kwacha currency have rallied on hopes the new administration will bring a swift resolution to its debt woes.

Soaring copper prices to the rescue

Elevated prices of copper will aid Musokotwane’s cause: the metal accounts for more than 70 percent of the nation’s export earnings.

Hichilema’s administration aims to more than double copper output to as much as two million metric tonnes yearly by 2026 and ultimately about three million tonnes in 10 years Musokotwane said, referring to the metal used in electric cars as the “new oil”, the Bloomberg news agency reported.

“We are going to push production of copper by creating a good environment for more investment,” he said. “You will be amazed how much foreign exchange this country is going to make. You will not know what to do with the dollars that this country will be receiving.”

The kwacha advanced for a third-straight session on Friday to the strongest level against the dollar since March 2020, when the nation signalled it would restructure its external debt.

Of Zambia’s external debt, some $3bn is in Eurobonds, $3.5bn is bilateral debt, $2.1bn is owed to multilateral lending agencies and another $2.9bn is commercial bank debt.

A quarter of the total is held by either China or Chinese entities via deals shrouded in secrecy clauses, making negotiations for IMF relief particularly tough.

Musokotwane has said that he will present a budget within 90 days of Hichilema’s swearing-in last Tuesday and in the medium- to long-term his priority would be creating jobs."
9,Finance Ministry extends last date for availing GST amnesty scheme till November 30 - Moneycontrol,https://www.moneycontrol.com/news/business/finance-ministry-extends-last-date-for-availing-gst-amnesty-scheme-till-november-30-7404431.html,Moneycontrol,https://www.moneycontrol.com,finance,"Representative Image

The Finance Ministry on Sunday extended the last date to avail the GST amnesty scheme, under which taxpayers have to pay a reduced fee for delayed filing of monthly returns, by three months till November 30.

The GST council, chaired by Finance Minister Nirmala Sitharaman and comprising state ministers, had in May decided to come out with an Amnesty Scheme to provide relief to taxpayers in late fee for pending returns.

The late fee for non-furnishing of GSTR-3B for July 2017 to April 2021 has been capped at Rs 500 per return for those taxpayers who did not have any tax liability. For those with tax liability, a maximum Rs 1,000 per return late fees would be charged, provided such returns are filed by August 31, 2021.

Following the council decision, the Ministry on June 1 notified reduced late fee for non-furnishing Form GSTR-3B for the tax periods from July, 2017 to April, 2021, provided the taxpayer filed the returns for these tax periods by August 31, 2021.

""The last date to avail benefit of the late fee amnesty scheme, has now been extended from existing August 31, 2021 to November 30, 2021,"" the ministry said in a statement.

Based on the multiple representations received, the government also extended the timelines for filing of application for revocation of cancellation of registration to September 30, 2021, where the due date of filing of application for revocation of cancellation of registration falls between March 1, 2020 to August 31, 2021.

The filing of Form GSTR-3B and Form GSTR-1/IFF by companies using electronic verification code (EVC), instead of Digital Signature certificate (DSC), has already been enabled for the period from April 27, 2021 to August 31, 2021. This has been further extended to October 31, 2021.

""The extension of the closing date of late fee amnesty scheme and extension of time limit for filing of application for revocation of cancellation of registration will benefit a large number of taxpayers, specially small taxpayers, who could not file their returns in time due to various reasons, mainly because of difficulties caused by Covid-19 pandemic, and whose registrations were cancelled due to the same,"" the Ministry added."
